,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-04-06,45.5,6.10712194129,0.0,3809.34493088,185192.546063,63.9166666667,0.0,19.1666666667,25.0,15.0,4.04166666667,0.22866891329,0.292508156743,0.19599345161,2.0,0.297776532959,36.7743687534,36.320775481,0.45359327239,8.72563124659
2010-04-07,52.1,12.2956661388,0.0,3704.45256221,183879.780449,40.875,0.0,24.5625,32.2,13.3,7.04166666667,0.0221703702599,-0.0186031495082,0.364660132548,2.0,0.374888266896,32.2548697236,30.6632809907,1.59158873294,19.8451302764
2010-04-08,32.1,3.71491314974,0.0,3599.56019355,182567.014835,53.625,0.0,21.7791666667,25.6,17.8,6.16666666667,0.0252259379767,0.294727785831,0.353358441686,2.0,0.393713386618,28.1466468769,27.5210142834,0.625632593495,3.95335312308
2010-04-09,20.7,5.63513177707,0.0,3494.66782488,181254.249222,63.347826087,0.3,12.8608695652,17.8,7.2,7.65217391304,0.0297408820283,-0.255625445286,0.449141228247,2.0,0.508336320085,16.5507413535,16.5380773531,0.0126640004278,4.14925864646
2010-04-10,11.5,1.92432465097,0.0,3389.77545622,179941.483608,35.0416666667,0.0,10.7625,16.1,5.6,9.83333333333,-0.0176676791581,-0.19093667627,0.424697040655,2.0,0.500168508584,14.6156992945,14.3854143369,0.230284957524,-3.11569929446
2010-04-11,19.1,3.2343267561,0.0,3284.88308756,178628.717994,31.9583333333,0.0,17.1791666667,23.9,11.1,6.83333333333,-0.0391538591994,-0.0678164734458,0.386953702828,2.0,0.412001174727,19.1510910076,18.5053561358,0.645734871793,-0.0510910075931
2010-04-12,14.3,2.68425022592,0.0,3179.99071889,177315.952381,25.75,0.0,14.675,18.3,11.1,5.33333333333,0.235749160695,-0.12122117195,0.308699363843,2.0,0.325965916495,15.7181510958,15.4310682267,0.287082869046,-1.41815109576
2010-04-13,13.4,2.63432224294,0.0,3075.09835023,176003.186767,46.2916666667,0.0,11.1166666667,12.8,8.9,4.70833333333,0.205715660105,0.112423015362,0.347964502353,2.0,0.361157848207,14.507427151,14.521092416,-0.0136652650741,-1.10742715095
2010-04-14,16.1,3.36720920438,0.0,2970.20598157,174690.421153,42.75,0.0,13.3166666667,18.9,7.8,5.08333333333,0.227990896126,-0.044018538498,0.329751994712,2.0,0.395099019714,18.4240038705,18.1572896147,0.266714255751,-2.3240038705
2010-04-15,21.7,3.41053089921,0.0,2865.3136129,173377.655539,35.8695652174,0.0,15.4043478261,21.7,10.6,6.78260869565,0.116750808909,-0.160519937985,0.397988740408,2.0,0.431088062396,20.3041030007,19.7904839492,0.513619051527,1.39589699928
2010-04-16,15.3,2.63430201409,0.0,2760.42124424,172064.889926,68.4347826087,0.31,10.3347826087,13.3,7.8,7.52173913043,0.0649193344556,0.176372618291,0.555476517918,2.0,0.542879341882,18.1281072024,18.4218466441,-0.293739441634,-2.82810720244
